local_time,gpu_index,gpu_name,memory_used_mb,memory_total_mb,gpu_util_percent
2026/06/24 00:57:47.146,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 00:57:48.248,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 00:57:49.346,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 00:57:50.422,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 00:57:51.530,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 00:57:52.641,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 00:57:53.746,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 00:57:54.861,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 00:57:55.957,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 00:57:57.042,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 00:57:58.149,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 00:57:59.254,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 00:58:00.358,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 00:58:01.420,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 00:58:02.530,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 00:58:03.634,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 00:58:04.737,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 00:58:05.846,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 00:58:06.904,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 00:58:08.010,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 00:58:09.114,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 00:58:10.193,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 00:58:11.297,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 00:58:12.398,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 00:58:13.460,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 00:58:14.569,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 00:58:15.654,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 00:58:16.934,0,NVIDIA GeForce RTX 5090,1460,32607,2
2026/06/24 00:58:18.113,0,NVIDIA GeForce RTX 5090,1462,32607,0
2026/06/24 00:58:19.217,0,NVIDIA GeForce RTX 5090,1590,32607,0
2026/06/24 00:58:20.297,0,NVIDIA GeForce RTX 5090,5614,32607,39
2026/06/24 00:58:21.378,0,NVIDIA GeForce RTX 5090,5648,32607,35
2026/06/24 00:58:22.484,0,NVIDIA GeForce RTX 5090,5648,32607,32
2026/06/24 00:58:23.585,0,NVIDIA GeForce RTX 5090,5648,32607,23
2026/06/24 00:58:24.688,0,NVIDIA GeForce RTX 5090,5648,32607,36
2026/06/24 00:58:25.749,0,NVIDIA GeForce RTX 5090,5648,32607,38
2026/06/24 00:58:26.853,0,NVIDIA GeForce RTX 5090,5648,32607,35
2026/06/24 00:58:27.949,0,NVIDIA GeForce RTX 5090,5648,32607,24
2026/06/24 00:58:29.057,0,NVIDIA GeForce RTX 5090,5648,32607,34
2026/06/24 00:58:30.124,0,NVIDIA GeForce RTX 5090,5648,32607,35
2026/06/24 00:58:31.230,0,NVIDIA GeForce RTX 5090,5648,32607,38
2026/06/24 00:58:32.337,0,NVIDIA GeForce RTX 5090,5648,32607,33
2026/06/24 00:58:33.438,0,NVIDIA GeForce RTX 5090,5648,32607,23
2026/06/24 00:58:34.545,0,NVIDIA GeForce RTX 5090,5648,32607,31
2026/06/24 00:58:35.649,0,NVIDIA GeForce RTX 5090,5648,32607,32
2026/06/24 00:58:36.724,0,NVIDIA GeForce RTX 5090,5648,32607,43
2026/06/24 00:58:37.825,0,NVIDIA GeForce RTX 5090,5648,32607,35
2026/06/24 00:58:38.929,0,NVIDIA GeForce RTX 5090,5648,32607,33
2026/06/24 00:58:40.029,0,NVIDIA GeForce RTX 5090,5648,32607,23
2026/06/24 00:58:41.133,0,NVIDIA GeForce RTX 5090,5648,32607,29
2026/06/24 00:58:42.232,0,NVIDIA GeForce RTX 5090,5648,32607,39
2026/06/24 00:58:43.341,0,NVIDIA GeForce RTX 5090,5648,32607,34
2026/06/24 00:58:44.445,0,NVIDIA GeForce RTX 5090,5648,32607,34
2026/06/24 00:58:45.549,0,NVIDIA GeForce RTX 5090,5648,32607,37
2026/06/24 00:58:46.652,0,NVIDIA GeForce RTX 5090,5650,32607,35
2026/06/24 00:58:47.757,0,NVIDIA GeForce RTX 5090,5650,32607,35
2026/06/24 00:58:48.857,0,NVIDIA GeForce RTX 5090,5650,32607,30
2026/06/24 00:58:49.960,0,NVIDIA GeForce RTX 5090,5650,32607,35
2026/06/24 00:58:51.065,0,NVIDIA GeForce RTX 5090,5650,32607,37
2026/06/24 00:58:52.165,0,NVIDIA GeForce RTX 5090,5650,32607,37
2026/06/24 00:58:53.265,0,NVIDIA GeForce RTX 5090,5650,32607,36
2026/06/24 00:58:54.369,0,NVIDIA GeForce RTX 5090,5650,32607,31
2026/06/24 00:58:55.472,0,NVIDIA GeForce RTX 5090,5650,32607,34
2026/06/24 00:58:56.568,0,NVIDIA GeForce RTX 5090,5650,32607,31
2026/06/24 00:58:57.674,0,NVIDIA GeForce RTX 5090,5650,32607,31
2026/06/24 00:58:58.769,0,NVIDIA GeForce RTX 5090,5650,32607,37
2026/06/24 00:58:59.864,0,NVIDIA GeForce RTX 5090,5650,32607,34
2026/06/24 00:59:00.970,0,NVIDIA GeForce RTX 5090,5650,32607,25
2026/06/24 00:59:02.064,0,NVIDIA GeForce RTX 5090,5650,32607,23
2026/06/24 00:59:03.169,0,NVIDIA GeForce RTX 5090,5650,32607,35
2026/06/24 00:59:04.273,0,NVIDIA GeForce RTX 5090,5650,32607,39
2026/06/24 00:59:05.311,0,NVIDIA GeForce RTX 5090,5650,32607,36
2026/06/24 00:59:06.409,0,NVIDIA GeForce RTX 5090,5650,32607,36
2026/06/24 00:59:07.517,0,NVIDIA GeForce RTX 5090,5650,32607,38
2026/06/24 00:59:08.625,0,NVIDIA GeForce RTX 5090,5650,32607,23
2026/06/24 00:59:09.723,0,NVIDIA GeForce RTX 5090,5650,32607,17
2026/06/24 00:59:10.775,0,NVIDIA GeForce RTX 5090,5650,32607,36
2026/06/24 00:59:11.880,0,NVIDIA GeForce RTX 5090,5650,32607,35
2026/06/24 00:59:12.985,0,NVIDIA GeForce RTX 5090,5650,32607,35
2026/06/24 00:59:14.089,0,NVIDIA GeForce RTX 5090,5650,32607,36
2026/06/24 00:59:15.191,0,NVIDIA GeForce RTX 5090,5650,32607,32
2026/06/24 00:59:16.289,0,NVIDIA GeForce RTX 5090,5650,32607,26
2026/06/24 00:59:17.365,0,NVIDIA GeForce RTX 5090,5650,32607,37
2026/06/24 00:59:18.469,0,NVIDIA GeForce RTX 5090,5650,32607,34
2026/06/24 00:59:19.569,0,NVIDIA GeForce RTX 5090,5650,32607,31
2026/06/24 00:59:20.673,0,NVIDIA GeForce RTX 5090,5650,32607,28
2026/06/24 00:59:21.764,0,NVIDIA GeForce RTX 5090,5650,32607,33
2026/06/24 00:59:22.877,0,NVIDIA GeForce RTX 5090,5650,32607,36
2026/06/24 00:59:23.980,0,NVIDIA GeForce RTX 5090,5650,32607,27
2026/06/24 00:59:25.081,0,NVIDIA GeForce RTX 5090,5650,32607,34
2026/06/24 00:59:26.213,0,NVIDIA GeForce RTX 5090,5650,32607,37
2026/06/24 00:59:27.317,0,NVIDIA GeForce RTX 5090,5650,32607,26
2026/06/24 00:59:28.396,0,NVIDIA GeForce RTX 5090,5650,32607,34
2026/06/24 00:59:29.502,0,NVIDIA GeForce RTX 5090,5650,32607,32
2026/06/24 00:59:30.605,0,NVIDIA GeForce RTX 5090,5650,32607,28
2026/06/24 00:59:31.704,0,NVIDIA GeForce RTX 5090,5650,32607,35
2026/06/24 00:59:32.809,0,NVIDIA GeForce RTX 5090,5650,32607,42
2026/06/24 00:59:33.913,0,NVIDIA GeForce RTX 5090,5650,32607,30
2026/06/24 00:59:35.017,0,NVIDIA GeForce RTX 5090,5650,32607,39
2026/06/24 00:59:36.121,0,NVIDIA GeForce RTX 5090,5650,32607,36
2026/06/24 00:59:37.222,0,NVIDIA GeForce RTX 5090,5650,32607,38
2026/06/24 00:59:38.321,0,NVIDIA GeForce RTX 5090,5650,32607,34
2026/06/24 00:59:39.424,0,NVIDIA GeForce RTX 5090,5650,32607,38
2026/06/24 00:59:40.537,0,NVIDIA GeForce RTX 5090,5650,32607,23
2026/06/24 00:59:41.595,0,NVIDIA GeForce RTX 5090,5650,32607,34
2026/06/24 00:59:42.692,0,NVIDIA GeForce RTX 5090,5650,32607,35
2026/06/24 00:59:43.785,0,NVIDIA GeForce RTX 5090,5650,32607,27
2026/06/24 00:59:44.880,0,NVIDIA GeForce RTX 5090,5650,32607,35
2026/06/24 00:59:45.961,0,NVIDIA GeForce RTX 5090,5650,32607,37
2026/06/24 00:59:47.061,0,NVIDIA GeForce RTX 5090,5650,32607,28
2026/06/24 00:59:48.161,0,NVIDIA GeForce RTX 5090,5650,32607,34
2026/06/24 00:59:49.261,0,NVIDIA GeForce RTX 5090,5650,32607,32
2026/06/24 00:59:50.352,0,NVIDIA GeForce RTX 5090,5650,32607,35
2026/06/24 00:59:51.453,0,NVIDIA GeForce RTX 5090,5650,32607,39
2026/06/24 00:59:52.556,0,NVIDIA GeForce RTX 5090,5650,32607,38
2026/06/24 00:59:53.656,0,NVIDIA GeForce RTX 5090,5650,32607,8
2026/06/24 00:59:54.753,0,NVIDIA GeForce RTX 5090,5650,32607,38
2026/06/24 00:59:55.814,0,NVIDIA GeForce RTX 5090,5650,32607,37
2026/06/24 00:59:56.916,0,NVIDIA GeForce RTX 5090,5650,32607,31
2026/06/24 00:59:58.012,0,NVIDIA GeForce RTX 5090,5650,32607,39
2026/06/24 00:59:59.117,0,NVIDIA GeForce RTX 5090,5650,32607,35
2026/06/24 01:00:00.196,0,NVIDIA GeForce RTX 5090,5650,32607,32
2026/06/24 01:00:01.297,0,NVIDIA GeForce RTX 5090,5650,32607,28
2026/06/24 01:00:02.396,0,NVIDIA GeForce RTX 5090,5650,32607,37
2026/06/24 01:00:03.500,0,NVIDIA GeForce RTX 5090,5650,32607,27
2026/06/24 01:00:04.579,0,NVIDIA GeForce RTX 5090,5650,32607,38
2026/06/24 01:00:05.635,0,NVIDIA GeForce RTX 5090,5650,32607,29
2026/06/24 01:00:06.741,0,NVIDIA GeForce RTX 5090,5650,32607,32
2026/06/24 01:00:07.845,0,NVIDIA GeForce RTX 5090,5650,32607,35
2026/06/24 01:00:08.925,0,NVIDIA GeForce RTX 5090,5650,32607,37
2026/06/24 01:00:10.028,0,NVIDIA GeForce RTX 5090,5650,32607,24
2026/06/24 01:00:11.121,0,NVIDIA GeForce RTX 5090,5650,32607,33
2026/06/24 01:00:12.224,0,NVIDIA GeForce RTX 5090,5650,32607,33
2026/06/24 01:00:13.324,0,NVIDIA GeForce RTX 5090,5650,32607,36
2026/06/24 01:00:14.426,0,NVIDIA GeForce RTX 5090,5650,32607,27
2026/06/24 01:00:15.506,0,NVIDIA GeForce RTX 5090,5650,32607,17
2026/06/24 01:00:16.613,0,NVIDIA GeForce RTX 5090,5650,32607,36
2026/06/24 01:00:17.716,0,NVIDIA GeForce RTX 5090,5650,32607,35
2026/06/24 01:00:18.797,0,NVIDIA GeForce RTX 5090,5650,32607,0
2026/06/24 01:00:19.900,0,NVIDIA GeForce RTX 5090,2,32607,11
2026/06/24 01:00:21.005,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 01:00:22.104,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 01:00:23.209,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 01:00:24.306,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 01:00:25.414,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 01:00:26.522,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 01:00:27.630,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 01:00:28.734,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 01:00:29.842,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 01:00:30.950,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 01:00:32.029,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 01:00:33.133,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 01:00:34.238,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 01:00:35.314,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 01:00:36.413,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 01:00:37.510,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 01:00:38.622,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 01:00:39.706,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 01:00:40.809,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 01:00:41.918,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 01:00:43.026,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 01:00:44.133,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 01:00:45.242,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 01:00:46.349,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 01:00:47.458,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 01:00:48.565,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 01:00:49.673,0,NVIDIA GeForce RTX 5090,2,32607,0
